Title,Company,Location,Date,URL
Android Developer,Dow Jones & Co,Wan Chai Area,26-Oct-18,https://hk.jobsdb.com/hk/en/job/android-developer-100003006587113
Journalist – Financial Publishing,Initiative Recruitment Hong Kong Limited,Not Specified,26-Oct-18,https://hk.jobsdb.com/hk/en/job/journalist-financial-publishing-100003006584609
"Manager, External Relations (Ref. M(ER))",Urban Renewal Authority,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-external-relations-100003006577393
"Lead Manager, Media Relations (Corporate Development Division) (Ref: CDD213/JDB/221018)",Hong Kong Productivity Council,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/lead-manager-media-relations-100003006575784
"Manager, Communications & Public Affairs (English Editorial)",Hong Kong Trade Development Council,Wan Chai Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-communications-public-affairs-100003006572010
Content Expert,Telum Media HK Limited,Eastern Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/content-expert-100003006571840
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567298
Media Relations Executive,Hong Kong Trade Development Council,Wan Chai Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/media-relations-executive-100003006566789
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567297
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,12-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006553498
"Deputy Manager, Communications & Public Affairs",Hong Kong Trade Development Council,Wan Chai Area,11-Oct-18,https://hk.jobsdb.com/hk/en/job/deputy-manager-communications-public-affairs-100003006552008
Investor & Media Relations Consultant / Senior Consultant,PRChina Limited,Central & Western Area,09-Oct-18,https://hk.jobsdb.com/hk/en/job/investor-media-relations-consultant-senior-consultant-100003006544401
Contract Assistant Editor (4 months contract),Adsale Exhibition Services Ltd,Eastern Area,08-Oct-18,https://hk.jobsdb.com/hk/en/job/contract-assistant-editor-100003006542446
Marketing Officer,Dining Workshop (Hong Kong) Limited,Sham Shui Po Area,08-Oct-18,https://hk.jobsdb.com/hk/en/job/marketing-officer-100003006541917
Assistant Marketing Manager (Event & PR),Ztore HK Limited,Sham Shui Po Area,05-Oct-18,https://hk.jobsdb.com/hk/en/job/assistant-marketing-manager-100003006539422
SUB-EDITOR,Phoenix Satellite Television Co Ltd,Tai Po Area,05-Oct-18,https://hk.jobsdb.com/hk/en/job/sub-editor-100003006535457
Senior Reporter - Financial Journalism,Initiative Recruitment Hong Kong Limited,Not Specified,05-Oct-18,https://hk.jobsdb.com/hk/en/job/senior-reporter-financial-journalism-100003006531611
Sr. Media Relations Executive,Global Sources,Southern Area,02-Oct-18,https://hk.jobsdb.com/hk/en/job/sr-media-relations-executive-100003006525635
Regional Director of Public Relations,Langham Hotels International Ltd,Wan Chai Area,28-Sep-18,https://hk.jobsdb.com/hk/en/job/regional-director-of-public-relations-100003006518733
Relationship Manager //Strong Japanese // International Finance Firm// up to 30K //Good Benefits,RGF HR Agent Hong Kong Limited,Central & Western Area,27-Sep-18,https://hk.jobsdb.com/hk/en/job/relationship-manager-strong-japanese-international-finance-firm-100003006513516
Audience Development Executive,PR Newswire Asia Limited,Wan Chai Area,27-Sep-18,https://hk.jobsdb.com/hk/en/job/audience-development-executive-100003006513293
