,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
0,Data Analyst,Memorial Sloan-Kettering Cancer Center,"New York, New York",2018-08-15 05:58:10,https://careers.journalists.org/jobs/11315414/data-analyst,NaN,careers,"
 Company Overview:   At Memorial Sloan Kettering (MSK), we're not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we're driving excellence and improving outcomes.   For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker's Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor's Employees' Choice Best Place to Work for 2018. We're treating cancer, one patient at a time.   Join us and make a difference every day.                      Job Details:  Are you motivated by advances in computing and data? Passionate about making a meaningful contribution to contemporary progress in cancer research? Then join us here at MSK, where we can provide you with the opportunity to make a difference with your career in IT. We believe that this is an exciting role for someone who has the right background to be apart of our dynamic team and who wants to apply their skills to support our mission here.   We are seeking a Database Analyst to join the Computational Oncology Program in the Department of Epidemiology and Biostatistics at MSK.  This position requires you to work in close collaboration with researchers and software engineers. You will be responsible for managing data from leading edge, large scale research efforts in computational biology including genomics, imaging and clinical data analysis and interpretation. You will act as:  The main liaison for all data requests from researchers and collaborators Close collaborator with the software engineer team to build data management solutions A mentor to those who wish to use this solution  Ultimately, you are responsible for the correctness and completeness of all data within the group. You will oversee and ensure the delivery of data results, taking action to ensure analysis projects stay on track. Additionally, you will also drive assigned projects and ensure the delivery of results; identify, develop, and gather resources to complete the project plan, organize and lead meeting with stakeholders throughout the project life cycle; design and implement a plan for completing projects to deliver results, manage priorities and resource allocation, monitor progress and performance against the project plan and take action to ensure projects stay on track.   Are you able to handle the day-to-day responsibilities?   Manage data from high-throughput next-generation sequencing Contribute to the design of databases as part of bioinformatics data processing and analysis systems In charge of data entry and validation, and resolving missing and conflicting data entries Communicate with stakeholders of the data and upon request, conduct data query tracking and resolution Train researchers in the use of computational and bioinformatics database solutions and developing training module Plan, organize and lead meetings throughout the analysis project life cycle Handle priorities and resource allocation, monitor progress and take action  You are:  Able to hold yourself and others accountable in order to achieve goals and live up to commitments A good decision-maker, with shown success at making timely decisions that keep the organization moving forward Able to work effectively in an environment notable for complex, sometimes contradictory information Consistently achieving results, even under tough circumstances Adept at planning and prioritizing work to meet commitments aligned with organizational Adept at building partnerships and working collaboratively with others to meet shared objectives and goals An effective communicator, capable of resolving how best to reach different audiences and executing communications based on that understanding Resilient in recovering from setbacks and skilled at finding detours around obstacles Able to operate effectively, even when things are not clear or the way forward is not obvious Adept at learning quickly, applying insights from past efforts to new situation   Does your experience look like a potential fit?  You Need:  At least 3 years of relevant experience with bioinformatics lab information management systems Bachelor's Degree in Computer Science, Information Systems, or a Healthcare-related field (or equivalent experience), Master's degree is preferred Excellent computer skills including proficiency in Python, database queries, and Office Products To be thorough, detail-oriented, highly organized and able to perform with a high level of accuracy Next generation sequencing, proteomics and cancer genetics familiarity preferred but not required.  #LI-POST  MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.  Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.   

 


								Internal Number: 8533158
							
"
1,Assistant Professor - Data Journalism,Syracuse University,"Syracuse, New York",2018-10-30 05:58:10,https://careers.journalists.org/jobs/11620737/assistant-professor-data-journalism,NaN,careers,"
 Job Description:Syracuse University's S.I. Newhouse School of Public Communications seeks an experienced data journalist to join our team as a tenure-track professor in the school's journalism division. This full-time position is part of Syracuse University's new Signature Hires Initiative — a $100 Million investment that advances education and research enterprises in 11 strategically chosen fields. This hire will elevate the University's national and international reputation in data journalism, further interdisciplinary collaboration, and enhance recruitment of outstanding students.The successful candidate will demonstrate a track record of excellence in storytelling through data journalism including, but not limited to, the following skills: statistical computing and programming languages such as R and Python, web development languages such as HTML5, CSS and JavaScript, data collection and scraping techniques, and a deep understanding of programming and web/internet architecture. The successful candidate also will have extensive understanding of current software and skills that are supported and used by online and broadcast news organizations. Additional skills such as an understanding UI/UX as part of complex visual interactives and creating vector graphics for social media platforms are preferred. Experience with advanced data science techniques such as machine learning and neural networks are a plus. The successful candidate must demonstrate excellent teaching skills and the potential to bring national visibility to the school through academic scholarship and/or creative activity.  

 


								Internal Number: 76888
							
"
2,Assistant Professor - Data Journalism,SYRACUSE UNIVERSITY,"Syracuse, New York",2018-11-06 05:58:10,https://careers.journalists.org/jobs/11639944/assistant-professor-data-journalism,NaN,careers,"
 Assistant Professor - Data JournalismThe S.I. Newhouse School of Public Communications at Syracuse University invites applications for an Assistant Professor of Data Journalism to begin in August 2019. The successful candidate will possess curiosity and the ability to learn new technologies to keep up with the dynamism of the ever-changing industry. The position requires a willingness to collaborate with professional news organizations, journalism research labs, and faculty and students. The result of that collaboration might include building new data journalism projects, working with new tools and techniques to foster cutting-edge initiatives, and researching and developing experimental interactives and storytelling across all platforms. In addition to teaching foundation courses in data and digital journalism and upper-level, project-based courses, the successful candidate must demonstrate the potential to bring national visibility to the School through academic scholarship or creative activity. Tenure-track hires are expected to pursue such activities that will position them as a well-known expert in their field. This hire will be expected to engage in a variety of service duties, including: academic and career advising of undergraduate and graduate students, school and university committee service, curriculum development and community/industry outreach. For full description and online application instructions, visit www.sujobopps.com, Job # 074148. Email Melissa Chessher at mchesshe@syr.edu with any questions. Review of applications will begin following the priority deadline and will continue until the position filled. Syracuse University is an equal opportunity/affirmative action employer with a strong commitment to equality of opportunity and a diverse work force. Women, military veterans, individuals with disabilities, and members of other traditionally underrepresented groups are encouraged to apply.Apply HerePI105102002  

 

"
3,Sr. Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",2018-05-17 05:58:10,https://careers.journalists.org/jobs/10983607/sr-data-scientist,NaN,careers,"
 Company Overview:   At Memorial Sloan Kettering (MSK), we're not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we're driving excellence and improving outcomes.   For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker's Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor's Employees' Choice Best Place to Work for 2018. We're treating cancer, one patient at a time.  Join us and make a difference every day.    Job Details:  The Team  MSK Data Products is a multidisciplinary team of designers, software engineers and data scientists working inside MSK. Our mission is to transform how technology and data are used to prevent, control and ultimately cure cancer. We operate at the complex and fast-moving intersection of medicine and technology, and build software around the needs of some of the world's leading doctors and researchers. We are looking to recruit an expert data scientist. As a member of our team, you will play an integral role in the development of data analysis pipelines that use advanced computational methods to extract actionable insight from troves of clinical, genomic, financial and operational data - collected at our institution over 20+ years. These computational pipelines will power software products that help doctors and researchers find, visualize, and make the best use of complex medical and scientific data. You Are  An experienced machine learning practitioner with a consistent track record of developing and applying advanced computational techniques to solve complex problems Able to creatively combine existing computational methods, and, when necessary, develop new ones to best analyze various types of data Capable of consulting and collaborating on projects involving interdisciplinary team members  You need  MA/MS in Computer Science, Statistics, or another quantitative field 5+ years of applicable industry experience Deep knowledge of advanced machine learning methodologies such as deep learning, graphical models, natural language processing and understanding Programming experience in Python, Scala or C++ and deep learning frameworks such as TensorFlow or Torch Experience with SQL and NoSQL databases  Nice to have  PhD in Computer Science or related field Publications in top-tier machine learning journals and/or conferences Experience working with healthcare data You are a great teammate  #LI-FA1  MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.  Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.   

 


								Internal Number: 8246288
							
"
4,Digital Communications Data Analyst,National Association of Manufacturers (NAM),"Washington, D.C.",2018-07-16 05:58:10,https://careers.journalists.org/jobs/11256389/digital-communications-data-analyst,NaN,careers,"
 Who We Are: NAM Strategic Communications is a nationally recognized team that knows how to break through the noise and drive a message. We are savvy digital strategists and experienced spokespeople who leverage cutting-edge tactics to drive news in support of manufacturers’ agenda. Publications such as PR Week, PR News and Bulldog Reporter have hailed our innovative campaigns and top talent as the gold standard in communications and advocacy.   Your Role: The NAM is committed to building innovative digital content platforms as we expand our advocacy efforts and role as a leading trade association. How we use our digital presence to engage an array of audiences is critical to the organization’s success. We are looking for a Digital Communications Data Analyst to oversee, translate and make recommendations based on the company’s many sources of data relevant to our digital communications efforts.   The Digital Communications Data Analyst is an experienced, entrepreneurial statistician who will oversee the effective setup and ongoing use of analytics systems to spot trends, document patterns and solve problems on behalf of the communications team. This role includes oversight of digital performance metrics, including site, social media, email and app analytics, in addition to key performance indicators organization-wide (such as membership conversion and growth rate) and how datasets intersect. The ideal candidate will have a background in digital analytics and business analysis, a strong track record of analyzing complex datasets to help organizations grow, and experience at an online media organization. This position reports to the Digital Managing Editor.   Make an impact in the following ways:  Oversee setup and performance of analytics systems to generate actionable insights reports and related recommendations Monitor, compile and analyze data from multiple sources, including, but not limited to, site performance analytics, SEO keyword research/trends, industry trends, social listening, email metrics, CRM metrics, competitive research/metrics and business KPIs Package information into readable, visually appealing dashboards Develop engaging, layman’s-terms presentations to report findings across the organization Provide audience growth, optimization and targeting recommendations to the digital team Help establish growth benchmarks and KPIs and lead the curation of analytics and insights reports on editorial content and audience growth Work with the media relations team to supplement the NAM’s rapid response operations Ensure that best practices are applied to achieve standards of quality, efficiency and overall alignment of data   

Your Qualifications:  Deep expertise in developing analytics reporting and data synthesis for a complex organization Passionate, curious self-starter who pursues thorough data analysis to spot new content-related and business opportunities Comfortable talking to all levels of an organization and explaining data (and business choices/options) in layman’s terms Track record of working with internal partners from different departments to serve business objectives and provide consultative services High attention to detail; someone who triple-checks work and is confident in the end analysis Demonstrated success in driving audience growth through recommended optimizations/tests (in particular, website traffic, social media engagement and database growth) Demonstrated ability to deliver insights and recommendations based off complex datasets A proven track record of thriving in a changing work environment and adapting to new challenges/opportunities Interest in modern business issues impacting manufacturing and the industry overall Excellent verbal and written communications skills    Technical Skills:  Demonstrated cross-platform digital analytics knowledge, especially pertaining to website, social media and email Must have strong knowledge of statistical analysis Must have experience working within content management systems and CRM systems Must be open to learning and working within new software/platforms and encourage team members to be as well    Education and Experience:  B.S./B.A. degree in communications, journalism, mathematics, business administration or a related field preferred Four to six years managing data analytics Advanced experience with Excel, Google Analytics/Omniture and native and aggregated social analytics platforms, including Sprout Social and Simply Measured Experience working with CRM systems, including Salesforce, to interpret data Experience working with content management systems, including Drupal    Location: Washington, D.C. 

"
5,Ops Research Engineer/ Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",2018-08-15 05:58:10,https://careers.journalists.org/jobs/11286625/ops-research-engineer-data-scientist,NaN,careers,"
 Company Overview:   At Memorial Sloan Kettering (MSK), we're not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we're driving excellence and improving outcomes.   For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker's Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor's Employees' Choice Best Place to Work for 2018. We're treating cancer, one patient at a time.   Join us and make a difference every day.                      Job Details:  By joining the Strategy and Innovation team, you will have an exciting group of pioneers at your side. The department is comprised of data scientists, operations researchers, strategic analysts, software engineers, behavioral psychologist, and designers. Our well-blended team allows for a creative environment where everyone can freely explore ideas and concepts that benefit the entire department. Along with increasing access to world renowned surgeons and rare treatment options, our focus is to enhance the patient experience and assess and take the lead on the system-wide impact on resources stemming from surgical demand. The Role and Projects We are seeking an Operations Research Engineer who will perform mathematical modeling and act as a modeling enthusiast on projects that use newfangled approaches to improve how care is delivered. As part of the Surgery Analytics team you will empower decisions motivated by data and process changes to enhance patients' outcomes and experience. This will involve defining and scoping analyses, understanding processes and identifying decision points, collecting and running data, building and validating statistical and mathematical models, transforming models into impactful products, working with multiple departments and delivering results. Sample projects include:   Scheduling accuracy and optimization project : Improve existing, and develop new models to predict a patient's time and resource requirements during and after surgery. Transform proof of concept models and ideas to production level   Nurse staffing optimization : Explore and use patient demand data to predict the anticipated staffing needs in the Operating Suite. Assess the staffing constraints and preferences to the best match capacity and demand through heuristics or optimization. Deliver insight through data regularly along interactive display of potential decisions   Analytical decision support for leadership : Questions that require appropriate timing for impactful decisions. What is the true surgical robotic needs for the next five years. Have we increased case duration for surgical cases and is this an effect of increased complexity in the types of cases we see?   Are you able to answer yes to all of these bullets?  Successful at finding, gathering, and structuring data by talking to and learning from partners in the organization Build and validate analysis around a high-level question from a non-technical perspective Excited to serve as a technical liaison and self-assured at adding or removing complexity to modeling approaches to arrive at the best approach to support decisions consistently Outline assumptions behind analysis and communicate the scope of the analysis Skilled in using quantitative techniques (from descriptive statistics, predictive modeling & forecasting, to prescriptive analytics including decision analysis, math programming, simulation, machine learning) to resolve business problems Hungry to make processes and systems more effective and efficient in order to improve health care delivery for our patients Eager and curious to undertake a wide variety of complex problems, and able to learn and work independently  You need experience in the following areas:  Bachelor's degree (operations research, industrial engineering, mathematics, statistics, biostatistics, economics, etc.) Minimum 1 year industry work with real-world data Linear and mixed-integer programming (Gurobi/Python, GAMS, AMPL, LINDO) Simulation: discrete-event, agent-based, system dynamics, Monte Carlo (Simio, Flexsim, Anylogic, Arena) Statistical software (R, SAS, or SPSS) or programming (Python, Java, C++, or VBA) Knowledge in advanced and applied analytics (academic or industry): machine learning, predictive modeling, forecasting, simulation, optimization Data visualization (Tableau, R, python) Excellent verbal and written communication Delivering a presentation  Bonus/nice to have:  Masters degree or PhD in a related field Robust and Stochastic Optimization Linear regression, random forest, GBM, SVM, ANN   When applying, please include both a resume and a cover letter (as a single PDF).    #LI-POST   MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.  Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.   

 


								Internal Number: 8507532
							
"
6,Assistant Professor in Computer and Information Science (CIS) - Data Science F19,University of Michigan - Dearborn,"Dearborn, Michigan",2018-10-30 05:58:10,https://careers.journalists.org/jobs/11625639/assistant-professor-in-computer-and-information-science-cis-data-science-f19,NaN,careers,"
 A cover letter, curriculum vitae, teaching statement, research statement, and the names and contact information of three references should be submitted via:  http://apply.interfolio.com/56046.Applications submitted through careers.umich.edu will not be reviewed.The CIS Department at the University of Michigan-Dearborn invites applications for multiple tenure-track assistant professor positions in all areas of computer science, with special emphasis on software engineering, computer systems (e.g. distrubted systems), data science/AI/maching learning, and data management.  The expected starting date is September 1, 2019.  Although candidates at the Assistant Professor rank are preferred, exceptional candidates may be considered for the rank of Associate Professor depending upon experience and qualifications. We offer competitive salaries and start-up packages.The CIS Department offers several B.S. and M.S. degrees, and a Ph.D. degree. The current research areas in the department include artificial intelligence, computational game theory, computer graphics, data science, data management, energy-efficient systems, game design, graphical models, machine learning, multimedia, natural language processing, networking, security, service and cloud computing, software engineering, and wearable sensors and health informatics. These areas of research are supported by several established labs and many of these areas are currently funded by federal agencies and industries.Qualified candidates must have, or expect to have, a Ph.D. in computer science or a closely related discipline by the time of appointment and will be expected to do scholarly and sponsored research, as well as teaching at both the undergraduate and graduate levels.Qualified candidates must have earned a Ph.D. degree in computer science or a closely related discipline by September 1, 2019.  Candidates will be expected to do scholarly and sponsored research, as well as teaching at both the undergraduate and graduate levels.The University of Michigan-Dearborn (UM-Dearborn) is one of the three campuses of the University of Michigan. UM-Dearborn, a comprehensive university offering high quality undergraduate, graduate, professional and continuing education to residents of southeastern Michigan, and attracts more than 9,000 students. Our faculty comes from respected universities and doctoral programs, are recognized for excellence in research and teaching, and are active in professional and academic service roles in their respective fields. US News and World Report recently recognized our campus as a Best Regional University.The campus is located on 200 acres of the original Henry Ford Estate. Dearborn is centrally located within one of America's largest business regions. The geographically diverse area provides faculty with a variety of urban, suburban, and rural areas within a reasonable commute, including Detroit, Detroit suburbs, and Ann Arbor.The University of Michigan conducts background checks on all job candidates upon acceptance of a contingent offer and may use a third party administrator to conduct background checks.  Background checks will be performed in compliance with the Fair Credit Reporting Act.The University of Michigan participates with the federal E-Verify system.  Individuals hired into positions that are funded by a federal contract with the FAR E-Verify clause must have their identity and work eligibility confirmed by the E-Verify system.  This position is identified as a position that may include the E-Verify requirement.The University of Michigan is an equal opportunity/affirmative action employer.  

 


								Internal Number: 164263
							
"
7,Assistant Professor in Computer and Information Science (CIS) - Data Management F19,University of Michigan - Dearborn,"Dearborn, Michigan",2018-10-30 05:58:10,https://careers.journalists.org/jobs/11625641/assistant-professor-in-computer-and-information-science-cis-data-management-f19,NaN,careers,"
 A cover letter, curriculum vitae, teaching statement, research statement, and the names and contact information of three references should be submitted via:  http://apply.interfolio.com/56046.Applications submitted through careers.umich.edu will not be reviewed.The CIS Department at the University of Michigan-Dearborn invites applications for multiple tenure-track assistant professor positions in all areas of computer science, with special emphasis on software engineering, computer systems (e.g. distrubted systems), data science/AI/maching learning, and data management.  The expected starting date is September 1, 2019.  Although candidates at the Assistant Professor rank are preferred, exceptional candidates may be considered for the rank of Associate Professor depending upon experience and qualifications. We offer competitive salaries and start-up packages.The CIS Department offers several B.S. and M.S. degrees, and a Ph.D. degree. The current research areas in the department include artificial intelligence, computational game theory, computer graphics, data science, data management, energy-efficient systems, game design, graphical models, machine learning, multimedia, natural language processing, networking, security, service and cloud computing, software engineering, and wearable sensors and health informatics. These areas of research are supported by several established labs and many of these areas are currently funded by federal agencies and industries.Qualified candidates must have, or expect to have, a Ph.D. in computer science or a closely related discipline by the time of appointment and will be expected to do scholarly and sponsored research, as well as teaching at both the undergraduate and graduate levels.Qualified candidates must have earned a Ph.D. degree in computer science or a closely related discipline by September 1, 2019.  Candidates will be expected to do scholarly and sponsored research, as well as teaching at both the undergraduate and graduate levels.The University of Michigan-Dearborn (UM-Dearborn) is one of the three campuses of the University of Michigan. UM-Dearborn, a comprehensive university offering high quality undergraduate, graduate, professional and continuing education to residents of southeastern Michigan, and attracts more than 9,000 students. Our faculty comes from respected universities and doctoral programs, are recognized for excellence in research and teaching, and are active in professional and academic service roles in their respective fields. US News and World Report recently recognized our campus as a Best Regional University.The campus is located on 200 acres of the original Henry Ford Estate. Dearborn is centrally located within one of America's largest business regions. The geographically diverse area provides faculty with a variety of urban, suburban, and rural areas within a reasonable commute, including Detroit, Detroit suburbs, and Ann Arbor.The University of Michigan conducts background checks on all job candidates upon acceptance of a contingent offer and may use a third party administrator to conduct background checks.  Background checks will be performed in compliance with the Fair Credit Reporting Act.The University of Michigan participates with the federal E-Verify system.  Individuals hired into positions that are funded by a federal contract with the FAR E-Verify clause must have their identity and work eligibility confirmed by the E-Verify system.  This position is identified as a position that may include the E-Verify requirement.The University of Michigan is an equal opportunity/affirmative action employer.  

 


								Internal Number: 164265
							
"
8,Senior Investigative Reporter,The Markup,"New York, New York",2018-11-10 05:58:10,https://careers.journalists.org/jobs/11677622/senior-investigative-reporter,NaN,careers,"
 Welcome. We are The Markup (https://themarkup.org/) -- a brand new nonpartisan, nonprofit journalism organization in New York City. We're hiring! Our mission is to investigate and illuminate the societal effects of new technologies. With little accountability or oversight, technology is affecting who we vote for, how we raise our kids, who is able to get housing, jobs, healthcare and a comfortable life. We will investigate these impacts, with the goal of holding the powerful to account, raising the cost of bad behavior, and spurring reforms. We begin publishing in 2019. The Markup is looking for experienced Investigative Reporters who have also demonstrated strong data skills to lead investigative projects. The Markup is committed to building a team that includes a wide variety of backgrounds and perspectives, and an organizational culture that is reader-centered, inventive, rigorous, and courageous. A collaborative team-based approach is core for us: we won't tolerate jerks. We aim to be a place where a diverse mix of dedicated people will want to come, to stay, and do their best work. We do not discriminate on the basis of race, color, religion, age, sexual orientation, gender identity, gender expression, marital status, country of origin, citizenship, ancestry, physical or mental disability, or veteran status. About the position At The Markup, investigations are the heart of what we do. We are seeking an inventive, rigorous and collaborative Senior Investigative Reporter who can lead investigations, be comfortable with data and spreadsheets, and write compelling articles based on our findings.  Our approach to investigative journalism is guided by the scientific method. We develop hypotheses and assemble data —through crowdsourcing, FOIAs, and automated data collection— to test our theories.  Senior Investigative Reporters will often work alongside a Data Journalist to conduct investigations. Together they will develop a hypothesis and strategize about data collection techniques. The Senior Investigative Reporter will develop the necessary domain expertise in the topic area, find interesting anecdotes to illustrate the findings and conceive and shape the narrative of the article.  This position will report to the Editor-in-Chief.  Responsibilities Senior Investigative Reporters will be responsible for working closely with Data Journalists, producing and writing several investigations per quarter, as well as explanatory articles.  Investigative Journalism is a team sport. The Markup’s Senior Investigative Reporters will work closely with Investigative Data Journalists to develop hypotheses, collect data and develop findings. You will also work with other parts of the newsroom to explain and promote your findings and with our editorial partners outside the newsroom.  You will also be the custodian of your own digital security. We will provide the tools, but you will need to use two-factor authentication, password managers, encryption and other tools and tactics that can help us protect our work and our sources.  

Because our team- and data-based approach to journalism is new, there won’t be many people who have done it before. So don’t worry if you haven’t done the exact type of data journalism we plan to practice. The skills we are looking for are: You have strong data judgement and can see a story in a dataset.  You know how to spot a story. You have a minimum of five years of experience as an investigative journalist. You know proven impact. You have worked on successful investigations that have led to real world change. You are a fast, clean writer. You have spent a minimum of five years writing news articles on a deadline. You are passionate about accuracy. You are willing to go the extra mile to check even facts that seem obvious. You are skilled at cultivating relationships with sources and are diligent about protecting them.  You are data literate. You can use Excel (maybe you are not an expert, but are willing to learn) and committed to learning other technical skills on the job as needed. You enjoy learning and are flexible. This is a new form of journalism and we’ll all be learning how to do it together. Experience covering the technology industry is a plus, but not a requirement.  


NOTES:

				Employer will assist with relocation costs.Additional Salary Information: We pay people fair and reasonable salaries, in accordance with their skills and abilities and experience. We also provide a robust benefits package that includes medical, dental, vision, life, disability, and pet insurance and retirement plan contributions.

The salary for this position begins at $150,000, and will be established based on the successful candidate's experience, education and skills.



								Internal Number: ONA
							
"
9,Deputy online news editor,Arkansas Democrat-Gazette,"Little Rock, Arkansas",2018-11-06 05:58:10,https://careers.journalists.org/jobs/11661471/deputy-online-news-editor,NaN,careers,"
 Arkansas' premier statewide newspaper, the Arkansas Democrat-Gazette, is seeking a motivated and energetic journalist to serve as deputy online news editor. The editor will help direct coverage across ArkansasOnline.com, the state's leading news website. The duties will include monitoring breaking news, assigning stories, editing and posting work from staff members and various news wires, curating email newsletters, developing social media posts and determining how and where content is presented. The editor must thrive in breaking-news situations and be able to juggle multiple assignments simultaneously. Strong news judgment, an ability to write engaging headlines and a firm grasp of Associated Press style are essential. The ideal candidate must be able to work with other reporters and editors on staff to develop long-term projects, special sections and other online-only elements. Experience with HTML, video editing, Microsoft Excel and Google Docs is preferred.The candidate should have the ability to work independently and in a collaborative team environment. Candidate must have excellent communication skills and the ability to work well with the public. At least one year of experience at a news organization strongly preferred.ArkansasOnline.com is the leading source for constant updates about news in, around and affecting the state of Arkansas.This job is based in Little Rock, the state capital and home to a thriving downtown and entertainment district anchored by the William J. Clinton Presidential Center.To apply, send a note of interest and a resume with references to Senior Online Editor Gavin Lesnick at glesnick@arkansasonline.com. Please include ""Deputy online news editor"" in the subject line. Email questions or call (501) 399-3664.  

 

"
