Title,Company,Location,Post_Date,URL,Current Status,Source,Description
Copywriter/Editor,Crawford Group,"Newark, CA",2018-11-14 14:37:34,https://www.indeed.com/viewjob?jk=d8ac5ebcd62dbda2,NaN,indeed,"Desired: CopywritingSEOCrawford Group (www.crawfordgroup.com) is seeking a freelance Copywriter/Editor with a successful brand-building portfolio for our client in Newark, CA. This qualified Copywriter/Editor will contribute to the success by assisting in the development of creative and strategic writing for content across a range of consumer-facing brands. Working with a highly cross-functional team of marketers, product leaders, designers, and business leaders to bring ideas to life. This is a six-month consulting role located fully onsite at client’s office in Newark, CA.
Responsibilities:
Lead the development of copy for below-the-line materials, including packaging, websites, e-tail pages, mobile apps, quick-start guides, how-to-video scripts, case studies, emails, and other copy driven materials.
Support the creative team by participating in development of big idea ad campaign concepts and executions.
Edit your work and copy from across the company to communicate more effectively with readers, adhere to our internal style guide, and check for trademark issues.
Help develop and maintain a robust copy flow process that promotes both quality and speed through the production lifecycle.
Partner with others on the team to make your and their ideas shine and express our brands across a variety of marketing communications materials.
Work cross-functionally to ensure all work is consistent with our brand.
Review any changes/corrections and check for accuracy in grammar as well as compare any content as a whole against any given research.
Ensure projects are completed on time, with an exceptional level of quality.
Qualifications:
Exemplary English writing skills.
Strong attention to details.
5+ years of experience at a creative/design agency, client-side brands, or as a full-time technology/consumer tech journalist (Online portfolio required).
Substantial domain expertise, and self-driven interest and curiosity in consumer technology. Quick to see the promise of new technologies and the consumer benefit they can provide.
Skilled storyteller with exceptional communication and presentation skills and experience communicating the benefit of a strategy/idea to large teams.
Able to thoughtfully articulate your position on creative decisions.
Ability to ensure all copy aligns to the brand voice and overall strategic business goals and brand standards.
Ability to make sophisticated technology accessible and understandable to a wide audience with an emphasis on translating product information into consumer-driven messaging.
Understanding of the challenges behind localization, translation, and trans-creation and how they impact creative ideas and storytelling.
Ability to work cross-functionally with multiple teams and partner with resources in the broader Design group to scale and deliver amazing work.
Ability to work across multiple projects and launches, take direction and critique, while keeping a cool head.
Ability to thrive in a cross-functional environment and perform well in a highly dynamic, rapidly changing environment.
A positive collegial team spirit.
Experience in technology, consumer technology or consumer lifestyle categories.
Flexibility (within reason) to work outside normal business hours.
SEO experience is a strong plus.
Duration: Six-month consulting role
Location: Fully onsite at client's office in Newark, CA.
Pay: DOE"
Reporter,"KSTP-TV, LLC","Saint Paul, MN 55114 (Saint Anthony area)",2018-11-14 07:37:10,https://www.indeed.com/viewjob?jk=f3bc6f3dad6a0921,NaN,indeed,"QUALIFICATIONS:
Exceptional communication skills, oral and written
Extensive experience in commercial TV news
Professional, consistent on-air appearance
Advanced ability in critical thinking
Quick and effective decision-making, live ad-libbing, and maintaining performance under pressure
Highly developed public-speaking and interpersonal skills
Must have a valid driver's license and clean driving record as determined by the Company (driving record will be checked)
DUTIES:

KSTP is committed to building one of the best investigative newsrooms in the country. We give reporters the time they need to tell compelling stories that have an impact. We want critical thinkers. We want good storytellers. We want journalists who can do long-form stories and investigative stories. And we’ll give you the time to do them. Research days really happen here. You also get to break away from the daily grind and go work sources.

We are looking for someone who brings positive energy to our newsroom, a journalist who will ask the critical questions our viewers want answered. We are a station that will invest in you. We will team you up with amazing photojournalists. No MMJ’s here. You get to focus on the storytelling. You can spend your day crafting one incredible story. You will work with talented producers who will showcase your work. If you want to grow, if you want to be challenged, KSTP is the station for you.

Originate and develop stories for broadcast
Present live on TV and on radio scripted and unscripted news reports
Maintain extensive community contacts and awareness of local and national current events
Write for station's website
Make daily promotional community appearances
Maintain appropriate and strict standards regarding wardrobe, hair, cosmetics and grooming
Provide newsroom leadership and contribute to overall team effort
Please submit a link to your on-air experience along with your resume and cover letter.
PHYSICAL REQUIREMENTS:


Must be able to perform the essential functions of the job. The Company will make reasonable physical accommodations to facilitate the ability to perform essential job functions."
P/T Photographer/Editor,Nexstar Broadcasting,"Salt Lake City, UT",2018-11-14 05:37:51,https://www.indeed.com/viewjob?jk=fa98fdfebbf45b29,NaN,indeed,"Part-timeCompany Overview
Nexstar Media Group Inc. is the largest TV station operator in the country. With the reach of 171 television stations in 100 markets addressing nearly 38.7% of US television households, and a diversified, growing digital media operation. Nexstar Media Group Inc. is the parent company of Nexstar Broadcasting Group, Inc. & Nexstar Digital LLC. Learn more at www.nexstar.tv.
EEO Statement:
Equal Opportunity Employer Minorities/Women/Veterans/Disabled
Position Summary
News4Utah is seeking a multi-talented journalist who can shoot, edit and produce content for News4Utah.
Essential Duties and Responsibilities
Essential Duties and Responsibilities:
Shoots video for news and lifestyle reporters, anchors, hosts.
Confers with other personnel to discuss assignments, logistics and shot requirements.
Sets up, composes and executes video shots.
Maintains video equipment.
Edits video clips for television broadcasts and eMedia content.
Operates live microwave and satellite trucks in remote situations.
Is able to assist executive producer and show producer with aspects of overall show production, fill-in producing.
Performs other duties as assigned.

Requirements and Skills:
High school diploma. Some college coursework or vocational training preferred.
Minimum two years’ experience operating video recording equipment.
Proficiency with computers, telephones, copiers, scanners, fax machines and other office equipment.
Ability to meet deadlines, prioritize assignments and handle multiple tasks simultaneously.
Flexibility to work any shift.
Fluency in English.
Excellent communication skills, both oral and written.
Proficiency with video recording equipment.

Physical Demands & Work Environment:
The News Photographer must be able to sit, conduct telephone conversations, use electronic mail, write letters and memos, conduct face-to-face discussions with individuals or groups, make decisions without supervision, make decisions that impact the results of co-workers, work near others, work outdoors occasionally in all weather conditions, and work indoors in environmentally controlled conditions.
In addition, the News Photographer must be able to lift, set up and operate equipment weighing up to 25 pounds, and can handle, control or feel objects, tools or controls. Repetitive movements are required. Work may be conducted in extremely bright or inadequate lighting conditions."
News Production Assistant,Nexstar Broadcasting,"East Syracuse, NY",2018-11-14 05:37:19,https://www.indeed.com/viewjob?jk=31cf5df37d0c01c9,NaN,indeed,"Company Overview
Nexstar Media Group Inc. is the largest TV station operator in the country. With the reach of 171 television stations in 100 markets addressing nearly 38.7% of US television households, and a diversified, growing digital media operation. Nexstar Media Group Inc. is the parent company of Nexstar Broadcasting Group, Inc. & Nexstar Digital LLC. Learn more at www.nexstar.tv.
EEO Statement:
Equal Opportunity Employer Minorities/Women/Veterans/Disabled
Position Summary
The News Production Assistant provides support to production staff prior to, during and after the production of a program.
Essential Duties and Responsibilities
Support production staff with the coordination, creation, scheduling and distribution of all news marketing projects.
Assist with general duties including screening tapes, finding still images etc.
Research and disseminate ideas for project-related news topics and elements.
Screen, log, transcribe and clip footage for projects; organize element reels.
Log and archive video and associated data for future use.
 Requirements & Skills:
Must be able to interact well with video journalists, anchors, videographers, news managers, production and engineering staff.
Detail oriented.
Excellent communication and organization skills.
Familiarity with processes and procedures of a television production department.
Basic computer knowledge including MS Office.

Physical Demands & Work Environment:
The News Production Assistant must be able to stand, sit, reach, climb, conduct telephone conversations, use electronic mail, write letters and memos, conduct face-to-face discussions with individuals or groups, make decisions without supervision, make decisions that impact the results of co-workers, work near others, and work indoors in environmentally controlled conditions. In addition, the News Production Assistant must be able to handle, control or feel objects, tools or controls. Repetitive movements are required. Work may be conducted in extremely bright or inadequate lighting conditions. Must be able to lift, set up and operate equipment weighing up to 50 pounds."
Multimedia Journalist,Nexstar Broadcasting,"Myrtle Beach, SC",2018-11-14 05:37:04,https://www.indeed.com/viewjob?jk=a6c1b845b5603abf,NaN,indeed,"Company Overview
Nexstar Media Group Inc. is the largest TV station operator in the country. With the reach of 171 television stations in 100 markets addressing nearly 38.7% of US television households, and a diversified, growing digital media operation. Nexstar Media Group Inc. is the parent company of Nexstar Broadcasting Group, Inc. & Nexstar Digital LLC. Learn more at www.nexstar.tv.
EEO Statement:
Equal Opportunity Employer Minorities/Women/Veterans/Disabled
Position Summary
WBTW is seeking a Multimedia Journalist in their Florence, SC location. The Multimedia Journalist Reporter produces, reports, shoots, writes, voices, edits and feeds news production content for all platforms in a manner that is clear, engaging and meaningful to news consumers.
Essential Duties and Responsibilities
Reports news stories for broadcast, describing the background and details of events
Arranges interviews with people who can provide information about stories
Reviews copy and corrects errors in content, grammar and punctuation, following prescribed editorial style and formatting guidelines
Reviews and evaluates notes taken about event aspects to isolate pertinent facts and details
Determines a story’s emphasis, length and format, and organizes material accordingly
Researches and analyzes background information related to news stories to be able to provide complete and accurate information
Gathers information about events through research, interviews, experience or attendance at political, news, sports, artistic, social or other functions
Pitches stories to news managers and news producers which are relevant to the local community
Receives assignments and evaluates leads and tips to develop story ideas
Discusses issues with producers and/or news managers to establish priorities or positions
Checks reference materials such as books, news files or public records to obtain relevant facts
Revises work to meet editorial approval or to fit time requirements
Shoots and edits news events and news reports
Produces and presents reports for all platforms
Ensures that all content meets company standards for journalistic integrity and production quality
Writes stories for the web and other eMedia platforms
Interacts with viewers/users on social media sites
Performs special projects and other duties as assigned

Requirements & Skills:

Bachelor’s degree in Broadcast Journalism, or a related field, or an equivalent combination of education and work-related experience
Fluency in English
Excellent communication skills, both oral and written with the ability to ad lib when required
Minimum two years’ experience in news reporting (Depending on market size)
Superior on-air presence
Proficiency with computers, telephones, copiers, scanners, fax machines and other office equipment
Ability to meet deadlines, prioritize assignments and handle multiple tasks simultaneously
Valid driver’s license with a good driving record
Flexibility to work any shift

Physical Demands & Work Environment:

The Multimedia Journalist Reporter must be able to sit, conduct telephone conversations, use electronic mail, write letters and memos, conduct face-to-face discussions with individuals or groups, make decisions without supervision, make decisions that impact the results of co-workers, work near others, work outdoors occasionally in all weather conditions, and work indoors in environmentally controlled conditions. In addition, the Multimedia Journalist Reporter must be able to lift, set up and operate equipment weighing up to 25 pounds, and be able to handle, control or feel objects, tools or controls. Repetitive movements are required. Work may be conducted in extremely bright or inadequate lighting conditions."
KTAB Multimedia Journalist,Nexstar Broadcasting,"Abilene, TX",2018-11-14 05:37:04,https://www.indeed.com/viewjob?jk=0ddea462ed2067ad,NaN,indeed,"Company Overview
Nexstar Media Group Inc. is the largest TV station operator in the country. With the reach of 171 television stations in 100 markets addressing nearly 38.7% of US television households, and a diversified, growing digital media operation. Nexstar Media Group Inc. is the parent company of Nexstar Broadcasting Group, Inc. & Nexstar Digital LLC. Learn more at www.nexstar.tv.
EEO Statement:
Equal Opportunity Employer Minorities/Women/Veterans/Disabled
Position Summary
KTAB in Abilene, Texas, is looking for an MMJ ready to make his or her mark. We want a self-starter ready to engage with our audience.

The Multimedia Journalist Reporter produces, reports, shoots, writes, voices, edits and feeds news production content for all platforms in a manner that is clear, engaging and meaningful to news consumers.
Essential Duties and Responsibilities
Reports news stories for broadcast, describing the background and details of events
Arranges interviews with people who can provide information about stories
Reviews copy and corrects errors in content, grammar and punctuation, following prescribed editorial style and formatting guidelines
Reviews and evaluates notes taken about event aspects to isolate pertinent facts and details
Determines a story’s emphasis, length and format, and organizes material accordingly
Researches and analyzes background information related to news stories to be able to provide complete and accurate information
Gathers information about events through research, interviews, experience or attendance at political, news, sports, artistic, social or other functions
Pitches stories to news managers and news producers which are relevant to the local community
Receives assignments and evaluates leads and tips to develop story ideas
Discusses issues with producers and/or news managers to establish priorities or positions
Checks reference materials such as books, news files or public records to obtain relevant facts
Revises work to meet editorial approval or to fit time requirements
Shoots and edits news events and news reports
Produces and presents reports for all platforms
Ensures that all content meets company standards for journalistic integrity and production quality
Writes stories for the web and other eMedia platforms
Interacts with viewers/users on social media sites
Performs special projects and other duties as assigned

Requirements & Skills:

Bachelor’s degree in Broadcast Journalism, or a related field, or an equivalent combination of education and work-related experience
Fluency in English
Excellent communication skills, both oral and written with the ability to ad lib when required
Superior on-air presence
Proficiency with computers, telephones, copiers, scanners, fax machines and other office equipment
Ability to meet deadlines, prioritize assignments and handle multiple tasks simultaneously
Valid driver’s license with a good driving record
Flexibility to work any shift

Physical Demands & Work Environment:

The Multimedia Journalist Reporter must be able to sit, conduct telephone conversations, use electronic mail, write letters and memos, conduct face-to-face discussions with individuals or groups, make decisions without supervision, make decisions that impact the results of co-workers, work near others, work outdoors occasionally in all weather conditions, and work indoors in environmentally controlled conditions. In addition, the Multimedia Journalist Reporter must be able to lift, set up and operate equipment weighing up to 25 pounds, and be able to handle, control or feel objects, tools or controls. Repetitive movements are required. Work may be conducted in extremely bright or inadequate lighting conditions."
KPBS Video Journalist,SDSU Research Foundation,"San Diego, CA",2018-11-14 03:37:12,https://www.indeed.com/viewjob?jk=eae9e09927c084f3,NaN,indeed,"ContractOverview
KPBS serves the greater San Diego community with informative, cultural, entertaining and educational television, radio, and web programming. KPBS TV/FM is the public television and radio stations for San Diego. Licensed to San DiegoStateUniversity, KPBS supports and furthers the university’s educational and community service mission by informing, enlightening and empowering its listeners. It does so not only by presenting national and locally produced programming of value to its San Diego audience, but also by producing programming about San Diego and its people for distribution nationwide.

The Video Journalist will work under the supervision of the Senior News Producer and in coordination with other members of the News Division to follow the KPBS Strategic Plan and Editorial Vision. The primary duties of the Video Journalist include the creation of news content for KPBS TV, radio and web using professional broadcast cameras and non-linear editing equipment. This position works closely with news editors, reporters, producers, managers, production assistants and staff. This position is responsible for technical operation and first-line maintenance of the station's shooting and editing equipment.

The Video Journalist is expected to participate in station on-air fundraising activities, and make appearances for KPBS community building events and other public relations activities.

This position is covered by the SAG/AFTRA collective bargaining agreement with KPBS.

San Diego State University Research Foundation is an EEO/AA/Disability/Vets Employer

Responsibilities
News Shooting & Editing:
Using experienced news judgment, videotaping and gathering high-quality video and audio for stories in the field and in studio, primarily consisting of formal and informal interviews and gathering b-roll footage; may work with a reporter, producer or alone on short and long-form stories.
Live newsgathering and field editing from ENG satellite truck.
Responsible for gathering and/or creating all aspects of production, including both hand-held and stationary shooting with a broadcast quality EFP or studio camera, audio and lighting package.
Perform nonlinear editing of video and audio, and produce graphics.
Reporting for TV and radio broadcast, including writing broadcast scripts, recording voice-over tracks and writing web stories.
This position will convert stories for web use and audio for radio use.
This position will help teach reporters and producers how to shoot and edit their own packages as needed, and will give feedback to reporters on shooting and editing.
The Video Journalist coordinates the logging and archiving of broll and interviews.

Planning
The Video Journalist will actively engage in daily news planning meetings, and participate in pre-production development and planning and post-production analysis and critique sessions with program producers and directors, providing the technical expertise needed to maximize production effectiveness.
The Video Journalist will perform technical evaluation of program recordings to assure compliance with station and network technical standards.

Administration & Other
The Video Journalist attends meetings, understands and follows work rules and procedures, represents the station at public events and is responsible for appropriate record keeping, correspondence, phone calls, supplies and equipment and other duties as assigned.
The Video Journalist adheres to deadlines and, in concert with appropriate staff, makes timely and effective decisions in situations requiring prompt attention.
Qualifications
Knowledge and Abilities
Ability to move quickly from story to story.
Work well with or without supervision.
Ability to share ideas and assist others in building stories.
Ability to listen to and act on constructive feedback to improve performance.
Be able to meet multiple deadlines for all platforms: TV, radio and web.
Be able to work in breaking news situations.
Experience in multimedia newsgathering environment, including familiarity with web production, including audio and video production, writing, editing, graphic design, HTML, and photography.
Desire to serve the community with thoughtful and engaging news reporting.
Ability to move quickly from spot news coverage to breaking news to long form production.
Reliable transportation, valid driver's license and proof of insurance required.
Knowledge of the mechanics of standard English grammar, spelling and AP Style.
Possesses effective communication and interpersonal skills.
Ability to interact effectively with co-workers.
Experience in on-line research, word processing, and web.
Must have excellent memory for details, be able to meet daily deadlines under pressure and deal effectively with simultaneous multiple tasks.
Experience
Minimum two-years full-time professional experience in journalism.
Must have experience in newsgathering, including shooting, editing and multimedia production for short-form and long-from reports and productions.
Must have experience with broadcast, professional camera and offline editing equipment, creating graphics for TV and/or web.
Excels at editing with Adobe Premiere and/or Final Cut Pro.
Experience using portable live shot (backpack) systems, ie, Comrex LiveShot, TVU, LiveU, Dejero.
Experience using ENPS.
Excels at solving technical issues in newsroom and the field.
Education
Bachelor’s degree or equivalent work in journalism.
Preferred Qualifications and Skills
Demonstrated skills in using video and audio recording equipment, still cameras, and audio & video editing software.
Live shot experience with satellite or microwave truck.
Ideally has experience in creating content for online presentation.
Displays knowledge and adherence to high ethical standards."
News & Strategic Communications Coordinator,Scripps College,"Claremont, CA 91711",2018-11-14 02:38:16,https://www.indeed.com/viewjob?jk=287a395946a4fbb1,NaN,indeed,"Claremont, CA

Job Posting Title:
News & Strategic Communications Coordinator

Job Description:
PRIMARY PURPOSE/GENERAL DESCRIPTION:
Under the supervision of the creative director in the Office of Marketing and Communications, the news and strategic communications coordinator administers the College’s media relations efforts and provides support for its strategic communications initiatives. The news and strategic communications coordinator is the primary contact for all media/press inquiries for the College.

DESCRIPTION OF DUTIES AND RESPONSIBILITIES :


ESSENTIAL FUNCTIONS :
This information is intended to be a descriptive of the key responsibilities of the position. The list of essential functions below does not identify all duties performed by any single incumbent in this position. Perform other duties as assigned.

Core Functions and Duties
Serve as the College’s point of contact and manage incoming media requests on a variety of topics, coordinating responses and statements from relevant Scripps College faculty and/or staff.
Consult with the creative director, faculty, students, and administration in coordinating responses to media and public relations inquiries that highlight the College’s curricular and extracurricular activities.
Help plan, coordinate, and initiate pitches and press releases; tracks and measures the effectiveness of Scripps’ media relations activities; gathers information about the College for media-generated college rankings and surveys; assists with presidential and College-wide communications; and develops and executes plans to promote internally facing initiatives.
Ensure that stories or segments being created by journalists align with the communications goals and objectives of the College.
Monitor daily media reports from Cision, Trendkite, Google; report on, and make recommendations to editorial team on how to promote Scripps media coverage.
Build and maintain targeted media lists, and establish and maintain effective relationships with media contacts locally, regionally, and nationally.
Develop and maintain channels of communication with the key constituent groups of the College (faculty, research center leaders, administration, students, and alumnae) to assure constant information exchange.
Compile media coverage reports and develop effective benchmarking processes and procedures to track, monitor, and measure all media activities.
Provide ad hoc reports as needed for senior leadership team.
Manage the news hub and related external communications content on the College website.

Media Program Coordination
Identify media opportunities and develop and assist in the development of strategic and tactical media relations plans for projects, events, and programs.
Maintain faculty experts list, so that Scripps College faculty may be offered as experts on current news topics and issues.
Develop and maintain faculty experts list to ensure accurate and timely flow of information for both responsive and proactive media connections.
Oversee the distribution of press releases and coordinate all related communication.
Participate in all communication and marketing area meetings to coordinate implementation of overall area strategies for positioning Scripps College and its messages.
Participate in the Intercollegiate Public Relations Committee.
Prep faculty and senior staff for interviews, and be present during interviews with journalists.
Facilitate on-campus and off-campus interviews, securing shoot locations and coordinating logistics with media, Scripps College faculty and staff, facility services, and other College departments, as necessary.
Liaise with journalists who attend Scripps Presents and other public events.
Provide agreed-upon talking points to staff for queries from students, alumnae, parents, or donors.

Web Content Management
Manage all media relations related content on the Scripps College website, updating stories and information on the news hub and ranking page as necessary. Write, edit and place stories highlighting students, faculty, alumnae and donors, along with various educational programs offered by the College.
Maintain high standards of quality and ensure that web content is timely, accurate, and delivers key organizational messages to appropriate constituencies.
Occasionally create other content for various sections of the website;
 
Editorial and Strategic Communications Services
Develop media plans for College Commencement speaker, signature events series, and institutes.
Plan, develop, and produce variety of written materials, including press releases, editorial opinion pieces, backgrounders, fact sheets, biographies, presentations, and video scripts.
Maintain Scripps College web content on the Claremont Colleges Media Portal (typically, ensuring materials first posted on the College website are reposted there)
Participate in bi-weekly editorial planning meetings.
Compile information and updates for presidential communications and campus- and College-wide announcements.
Lead communications and promotional efforts for internally facing initiatives.
Develop and produce content for other College publications, where appropriate.
Active support for the College’s Principles of Community and Principles of Diversity in the performance of job duties.

REQUIRED KNOWLEDGE, SKILLS, ABILITIES :
Individuals must possess knowledge, skills and abilities to successfully perform the essential functions of the position, or be able to explain or demonstrate how the essential functions will be performed, with or without reasonable accommodation, using some other combination of skills and abilities.

Must possess superior communication and relationship-building skills, outstanding writing skills, and strong analytical skills.
Ability to build and maintain effective working relationships with diverse constituents and handle all information with sensitivity, discretion, and solid judgment.
Ability to exercise excellent judgment and sensitivity regarding priority and nonpriority stories.
Ability to facilitate and coordinate media relations planning efforts from conceptual through implementation phases.
Ability to analyze media relations effectiveness.
Superior interpersonal skills to interact effectively and collaboratively with reporters, editors, faculty, alumnae, and students; to act as a liaison to other departments and organizations, and to motivate others.
Ability to communicate effectively with third-party consultants (PR firms, video production crews, etc.)
Excellent computer skills: MS Office, Outlook; Photoshop, WordPress knowledge a plus. Working knowledge of image file formats, how to crop, resize for various uses.
Ability to determine, then establish, appropriate procedures and systems to accomplish broadly defined goals.
Ability to proactively communicate with faculty, staff, and senior administration to ensure that media needs are being met.
Ability to identify, analyze, and resolve problems as they arise and keep supervisors apprised of problems.
Ability to use discretion in setting expectations for faculty and staff.
Ability to work under time constraints and competing requests for services, and to set priorities which accurately reflect the relative importance of job responsibilities.
Ability to work with minimal direction; to make independent judgments and/or decisions and to discern when action of a higher level is required.

QUALIFICATION STANDARDS :




EDUCATION & EXPERIENCE:
Bachelor’s degree in journalism, communications, English/humanities, business/marketing, media relations, or any combination of education, training or experience that provides the required knowledge, skills and ability to perform the job.

Demonstrated experience with media relations is required.
Experience with metrics, public relations
Experience with Cision, TrendKite, and other media content database systems.
Experience in public relations protocols to create plans, timelines, and results for various media relations programs.

LICENSES / CERTIFICATES :
None.

OTHER :


HOURS & CLASSIFICATION AND STATUS:
This is a regular, full-time, benefits-eligible, exempt position.

The regular hours for this position are 8:00 a.m. to 5:00 p.m. Hours may vary due to needs of the College or department.

SUPERVISORY RESPONSIBILITY :
None.

Work Environment
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of the job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is quiet to moderate.

Physical and Mental Requirements
Ability to maintain good concentration level while dealing with interruptions; attention to details with emphasis on accuracy; capable of giving, receiving, and analyzing information, formulating work plans, and articulating goals and action plans.

Sitting in a normal seated position for extended periods of time. Standing for extended periods of time. Reaching and extending hand(s) or arm(s) in any direction. Finger dexterity required to manipulate objects with fingers rather than the whole hand(s), or arm(s), for example, using a keyboard. Communication skills using the spoken word. Ability to see within normal parameters. Ability to hear within normal parameters. Ability to bend and stoop, for example, to file. Ability to move about. Ability to lift and carry short distances up to 20 lbs., for example to lift or move office supplies, files, books and packages.


At-Will Employment
Regular employment at the College is for no specified period of time; conditions and status of employment (hours, pay, title, duties, etc.) are subject to change at any time. Scripps College is an At-Will employer. Employees, and likewise the College, are free to end the employment relationship at any time, for any reason, with or without notice or cause, unless otherwise prohibited by law."
Credit/Finance Reporter,Refinitiv,"New York, NY",2018-11-14 02:37:27,https://www.indeed.com/viewjob?jk=e4297323040b15d8,NaN,indeed,"Job Description
Role Overview:
Refinitiv LPC is the premier global provider of information on the syndicated loan and high yield bond markets. Our first-to-the-market news, comprehensive real-time and historic data helps industry players stay informed about market trends and facilitate trading and investment decisions. With offices in New York, London, Hong Kong, Sydney and Tokyo LPC is the one source for comprehensive coverage of the syndicated loan markets worldwide.

Responsibilities:
Refinitiv LPC is seeking an skilled and energetic journalist to cover the private U.S. secondary loan market. The ideal candidate will be able to quickly deliver news on secondary loan trading and adjacent markets, including high yield bonds and credit default swaps. The reporter will also be able to conceive and write longer pieces on secondary trends for LPC’s print publications, real time news service LoanConnector and the Reuters newswire.

Skills:
Excellent contact building, strong people skills and initiative are key for breaking news in a private market and producing market-moving off diary stories
An understanding of the syndicated loan market, how the fast-paced news cycle impacts loan trading and how this translates into breaking secondary market news is a plus but training will also be provided
Strong written, communication and organisational skills are a must, along with two years of relevant financial reporting experience, newswire experience a plus
Candidates who have worked in either a syndicated lending or credit trading capacity will also be considered.
Requirements:
2+ years of financial journalism experience or experience working in syndicated finance
Strong interpersonal and communications skills
Ability to work in a fast-paced team environment
Strong knowledge of financial markets and investment banking
A good contact book and the ability to network and develop sources and contacts
The Financial and Risk Business of Thomson Reuters is now Refinitiv. Refinitiv equips the financial community with access to an open platform that uncovers opportunity and catalyzes change. With a dynamic combination of data, insights, technology, and news from Reuters, our customers can access solutions for every challenge, including a breadth of applications, tools, and content—all supported by human expertise. At Refinitiv, we facilitate the connections that propel people and organizations to find new possibilities to move forward.

As a global business, we rely on diversity of culture and thought to deliver on our goals. Therefore we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

Intrigued by a challenge as large and fascinating as the world itself? Come join us.

Locations
New York-New York-United States of America"
Anchor/Reporter,Univision communications inc,United States,2018-11-14 02:37:04,https://www.indeed.com/viewjob?jk=78fa09c852035d88,NaN,indeed,"Univision Communications Inc (UCI) — the leading media company serving Hispanic America is looking for an Anchor/Reporter to work in our new show UNews - Fusion TV. UNews is Univision News in English. A new live program premiering in September the brings all the top stories of the day from the award-winning news team from Univision.

Main Responsibilities

Collect and analyze facts about news-related events by interview, investigation, and observation.
Report stories for television programming on Univision/Fusion Network.
Speak and read from scripted materials, such as news reports for network television programs.
May interview guests and lead roundtable discussions.
Read news flashes to inform audiences of significant events.
Study and research news background information to prepare for programs and interviews.
Make promotional appearances at public and/or private events to represent Univision/Fusion Network
Research and analyze background information related to stories to be able to provide complete and accurate information. Provide live color commentary to various current events.

MINIMUM QUALIFICATIONS
Bachelor’s degree or equivalent in journalism, communications or related field
Five (5) years of experience in the occupation or as journalist
Must be well versed in the US and Latin America current events.
Must have on-air television experience
Must have experience reporting on broadcast news
Must be fluent in verbal/written Spanish and English"
